timestamp,byterate,packnum
1521118823.500005990,4.2888377E+8,45062
1521118823.600005990,4.0707045E+8,43951
1521118823.700005990,4.3143988E+8,45446
1521118823.800005990,4.4568192E+8,46432
1521118823.900005990,4.3848132E+8,45650
1521118824.000005990,4.5190164E+8,46588
1521118824.100005990,4.0555213E+8,43824
1521118824.200005990,5.2110580E+8,51420
1521118824.300005990,4.1019124E+8,43631
1521118824.400005990,3.7977728E+8,41999
1521118824.500005990,4.0986039E+8,43671
1521118824.600005990,4.1533679E+8,44569
1521118824.700005990,4.0099253E+8,43508
1521118824.800005990,4.1142253E+8,43872
1521118824.900005990,3.9905417E+8,43104
1521118825.000005990,4.4904528E+8,46755
1521118825.100005990,4.2578032E+8,44988
1521118825.200005990,4.2846411E+8,45014
1521118825.300005990,4.0802382E+8,43987
1521118825.400005990,4.2831192E+8,45552
1521118825.500005990,3.7213664E+8,41172
1521118825.600005990,4.3221818E+8,45246
1521118825.700005990,3.8879550E+8,42200
1521118825.800005990,3.8769325E+8,43573
1521118825.900005990,4.3329751E+8,46225
1521118826.000005990,4.6160126E+8,49357
1521118826.100005990,4.3303839E+8,46896
1521118826.200005990,3.9296678E+8,42989
1521118826.300005990,4.5939502E+8,47389
1521118826.400005990,4.3479905E+8,45364
1521118826.500005990,4.5307798E+8,46433
1521118826.600005990,4.1368014E+8,43718
1521118826.700005990,4.0651245E+8,43015
1521118826.800005990,4.0514379E+8,43200
1521118826.900005990,4.3891245E+8,45544
1521118827.000005990,3.9571922E+8,42927
1521118827.100005990,4.4470509E+8,46750
1521118827.200005990,4.6084972E+8,47787
1521118827.300005990,4.4550831E+8,46839
1521118827.400005990,4.3267142E+8,45631
1521118827.500005990,4.6062569E+8,47625
1521118827.600005990,4.6341247E+8,47818
1521118827.700005990,4.6659191E+8,47317
1521118827.800005990,4.5344874E+8,46386
1521118827.900005990,4.5808057E+8,46996
1521118828.000005990,4.5937817E+8,47254
1521118828.100005990,4.5031494E+8,46064
1521118828.200005990,4.7482702E+8,47421
1521118828.300005990,4.4034016E+8,45353
1521118828.400005990,4.4161416E+8,46439
1521118828.500005990,4.5574707E+8,47356
1521118828.600005990,4.5565393E+8,46889
1521118828.700005990,4.4049208E+8,45333
1521118828.800005990,4.7852061E+8,47825
1521118828.900005990,4.3351419E+8,45061
1521118829.000005990,4.5822894E+8,46493
1521118829.100005990,4.9208999E+8,48912
1521118829.200005990,4.3497577E+8,45305
1521118829.300005990,4.8901372E+8,49323
1521118829.400005990,4.5491799E+8,47239
1521118829.500005990,4.7087353E+8,48320
1521118829.600005990,4.2439853E+8,44368
1521118829.700005990,4.6970914E+8,47881
1521118829.800005990,4.6809161E+8,48485
1521118829.900005990,4.6811932E+8,47790
1521118830.000005990,4.7313584E+8,48299
1521118830.100005990,4.4111556E+8,46305
1521118830.200005990,4.5204970E+8,46396
1521118830.300005990,4.7019528E+8,48120
1521118830.400005990,4.4935075E+8,46577
1521118830.500005990,4.4533644E+8,46545
1521118830.600005990,5.0320777E+8,49837
1521118830.700005990,5.0211621E+8,49471
1521118830.800005990,7.0583838E+8,63725
1521118830.900005990,4.3992822E+8,45339
1521118831.000005990,4.3549828E+8,45867
1521118831.100005990,4.8482632E+8,48914
1521118831.200005990,4.3881828E+8,45325
1521118831.300005990,4.7988163E+8,48400
1521118831.400005990,4.6125705E+8,47120
1521118831.500005990,4.2606036E+8,44733
1521118831.600005990,4.7031509E+8,47671
1521118831.700005990,4.6109615E+8,46518
1521118831.800005990,4.2966898E+8,45117
1521118831.900005990,3.9901458E+8,42831
1521118832.000005990,4.4278100E+8,45781
1521118832.100005990,3.9389107E+8,42392
1521118832.200005990,4.1039908E+8,43592
1521118832.300005990,4.4509987E+8,45811
1521118832.400005990,4.0633840E+8,43598
1521118832.500005990,4.2871270E+8,45612
1521118832.600005990,3.6811759E+8,41242
1521118832.700005990,4.1232898E+8,44230
1521118832.800005990,3.6363783E+8,40435
1521118832.900005990,4.2892603E+8,45329
1521118833.000005990,3.3930652E+8,39132
1521118833.100005990,4.1050121E+8,43490
1521118833.200005990,3.9870670E+8,43232
1521118833.300005990,4.3681228E+8,45550
1521118833.400005990,3.6575104E+8,40626
1521118833.500005990,3.7248126E+8,41067
1521118833.600005990,4.6765074E+8,47841
